date,n_uni,n_active,n_pump10,n_pump20,frac_pump10,frac_pump20,breadth,cs_ret_std,tot_qv,btc_ret,btc_rv,btc_above_ma,f_n_pump10_l1,f_n_pump10_l2,f_n_pump10_3d,f_n_pump10_5d,f_n_pump20_l1,f_n_pump20_3d,f_breadth_l1,f_cs_ret_std_l1,f_qv_ratio,f_btc_ret_l1,f_btc_rv_l1,f_btc_above_ma_l1,f_pump_momo
2023-10-08,100,103,4.0,2.0,0.04,0.02,0.29,0.03995576476884999,992228880913.9442,0.0007121098532519607,0.011254364148095072,1.0,3.0,4.0,3.0,2.6,0.0,1.0,0.44,0.015271699577315799,1.0278064689290858,0.002747689971772698,0.011281636535459733,1.0,0.3999999999999999
2023-10-09,100,103,3.0,0.0,0.03,0.0,0.07,0.026473147800535283,1259532707421.9072,-0.008844928167880078,0.011208716132015132,1.0,4.0,3.0,3.6666666666666665,3.0,2.0,1.6666666666666667,0.29,0.03995576476884999,0.7966320528819841,0.0007121098532519607,0.011254364148095072,1.0,1.0
2023-10-10,100,103,4.0,2.0,0.04,0.02,0.27,0.02784059882663276,1684247731898.898,-0.00691305418247572,0.011362373838753886,1.0,3.0,4.0,3.3333333333333335,3.2,0.0,0.6666666666666666,0.07,0.026473147800535283,1.006755078112493,-0.008844928167880078,0.011208716132015132,1.0,-0.20000000000000018
2023-10-11,100,103,1.0,0.0,0.01,0.0,0.17,0.01684442169122894,1185733070116.4639,-0.017971756687946993,0.01170509907173456,0.0,4.0,3.0,3.6666666666666665,3.6,2.0,1.3333333333333333,0.27,0.02784059882663276,1.3252100492034664,-0.00691305418247572,0.011362373838753886,1.0,0.3999999999999999
2023-10-12,100,103,3.0,0.0,0.03,0.0,0.63,0.022978953990369644,990703460474.5027,0.00215197369927817,0.011692040264077849,0.0,1.0,4.0,2.6666666666666665,3.0,0.0,0.6666666666666666,0.17,0.01684442169122894,0.945509649172994,-0.017971756687946993,0.01170509907173456,0.0,-2.0
2023-10-13,100,103,5.0,1.0,0.05,0.01,0.92,0.024464280542965688,923014252179.3944,0.005914447909119543,0.011738796993566069,1.0,3.0,1.0,2.6666666666666665,3.0,0.0,0.6666666666666666,0.63,0.022978953990369644,0.814966975449757,0.00215197369927817,0.011692040264077849,0.0,0.0
2023-10-14,100,103,2.0,1.0,0.02,0.01,0.47,0.023412510567532612,1070545176611.8439,-0.004826604451282223,0.011418699822064088,0.0,5.0,3.0,3.0,3.2,1.0,0.3333333333333333,0.92,0.024464280542965688,0.767029091757465,0.005914447909119543,0.011738796993566069,1.0,1.7999999999999998
2023-10-15,100,103,14.0,5.0,0.14,0.05,0.66,0.048962501115939486,1117093530132.957,0.008013470788508338,0.0114795033326987,1.0,2.0,5.0,3.3333333333333335,3.0,1.0,0.6666666666666666,0.47,0.023412510567532612,0.8971373876479746,-0.004826604451282223,0.011418699822064088,0.0,-1.0
2023-10-16,100,103,11.0,2.0,0.11,0.02,0.75,0.029051344549722934,2892611425274.592,0.04252253774591738,0.014596692877615346,1.0,14.0,2.0,7.0,5.0,5.0,2.3333333333333335,0.66,0.048962501115939486,0.9441092088278109,0.008013470788508338,0.0114795033326987,1.0,9.0
2023-10-17,100,103,10.0,4.0,0.1,0.04,0.48,0.06928528311405038,2799986572496.2104,-0.0011635575140466919,0.014535042034413375,1.0,11.0,14.0,9.0,7.0,2.0,2.6666666666666665,0.75,0.029051344549722934,2.263344242801975,0.04252253774591738,0.014596692877615346,1.0,4.0
