target,fold,leaf,depth,rule,root_feat,support_train,support_val,pos_train_pct,pos_val_pct,base_val_pct,lift_val,gap_train_val_pp,recall_val,fire_rate_val_pct,support_val_top,pos_val_top_pct,lift_val_top,fail_eod_val_pct
pump15,4,3,3,log_return_1d <= +0.034 AND atr_pct_14 <= +0.063 AND btc_return_5d <= +0.114,log_return_1d,33331,8511,0.7860550238516697,1.2571965691458111,3.305060984158138,0.38038528643550673,-0.47114154529414154,11.346765641569458,29.82966493761391,3392,1.5035377358490567,0.4549198163228556,-0.2867985906497388
pump15,4,6,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.063 AND vol_7d <= +0.961,log_return_1d,30284,14797,2.7704398362171445,2.926268838278029,3.305060984158138,0.8853902703472823,-0.15582900206088485,45.91728525980912,51.861068274218425,10486,3.175662788479878,0.9608484695748449,-0.48630270557786504
pump15,4,7,3,log_return_1d <= +0.034 AND atr_pct_14 > +0.063 AND vol_7d > +0.961,log_return_1d,2303,819,9.161962657403388,10.012210012210012,3.305060984158138,3.0293571163136384,-0.8502473548066256,8.695652173913043,2.870461236506379,806,10.173697270471465,3.078217714963858,-1.822319641528232
pump15,4,10,3,log_return_1d > +0.034 AND log_return_1d <= +0.079 AND btc_intensity_d_z <= +1.295,log_return_1d,8194,2828,4.759580180619966,5.445544554455446,3.305060984158138,1.6476381466354482,-0.6859643738354799,16.33085896076352,9.911678115799804,2161,6.293382693197594,1.9041653764826485,-0.5144209301684796
pump15,4,11,3,log_return_1d > +0.034 AND log_return_1d <= +0.079 AND btc_intensity_d_z > +1.295,log_return_1d,1223,460,11.038430089942764,3.91304347826087,3.305060984158138,1.1839550002305317,7.125386611681894,1.9088016967126193,1.612224870321043,370,4.864864864864865,1.471944054340661,-2.071397027702615
pump15,4,13,3,log_return_1d > +0.034 AND log_return_1d > +0.079 AND return_7d <= +0.858,log_return_1d,1077,526,9.47075208913649,9.315589353612168,3.305060984158138,2.818583196577544,0.15516273552432236,5.1961823966065745,1.8435440908453666,406,11.330049261083744,3.4280908326324644,-2.121101172669447
pump15,4,14,3,log_return_1d > +0.034 AND log_return_1d > +0.079 AND return_7d > +0.858,log_return_1d,1566,591,19.220945083014048,16.920473773265652,3.305060984158138,5.119564768810346,2.3004713097483975,10.604453870625663,2.0713584746950793,579,16.92573402417962,5.121156343349872,-3.297381910891496
pump15,5,3,3,log_return_1d <= +0.039 AND atr_pct_14 <= +0.066 AND btc_return_5d_z <= +2.264,log_return_1d,45859,14517,0.9223925510804858,1.2881449335262105,3.288009225735511,0.39177047419569183,-0.36575238244572483,15.252854812398041,38.933140236543565,5281,1.0035978034463169,0.30522961906282886,-0.5356064825010705
pump15,5,4,3,log_return_1d <= +0.039 AND atr_pct_14 <= +0.066 AND btc_return_5d_z > +2.264,log_return_1d,1546,625,4.657179818887451,0.16,3.288009225735511,0.04866166394779772,4.497179818887452,0.08156606851549755,1.6761874111620672,207,0.0,0.0,0.4080976462991574
pump15,5,6,3,log_return_1d <= +0.039 AND atr_pct_14 > +0.066 AND vol_inv_7d <= +0.072,log_return_1d,4923,1871,8.165752589884217,8.391234633885624,3.288009225735511,2.5520714991328974,-0.22548204400140576,12.805872756933114,5.017834634054765,1655,8.821752265861027,2.6830071512003273,-2.002482844302568
pump15,5,7,3,log_return_1d <= +0.039 AND atr_pct_14 > +0.066 AND vol_inv_7d > +0.072,log_return_1d,41183,16159,2.8312653279265714,3.564577015904449,3.288009225735511,1.084114055399912,-0.7333116879778778,46.98205546492659,43.33681980314855,8135,3.6263060848186845,1.1028880504456304,-0.7759807332431602
pump15,5,10,3,log_return_1d > +0.039 AND log_return_1d <= +0.080 AND btc_return_1d <= +0.000,log_return_1d,2458,751,8.991049633848657,5.9920106524633825,3.288009225735511,1.8223825546362329,2.9990389813852754,3.6704730831973897,2.01410679325234,616,6.331168831168831,1.9255325628694306,-1.7095360856755955
pump15,5,11,3,log_return_1d > +0.039 AND log_return_1d <= +0.080 AND btc_return_1d > +0.000,log_return_1d,7713,2242,4.8619214313496695,4.727921498661909,3.288009225735511,1.4379282946215874,0.13399993268776028,8.64600326264274,6.012819481320567,1368,4.751461988304094,1.4450877908474284,-0.26133353030854733
pump15,5,13,3,log_return_1d > +0.039 AND log_return_1d > +0.080 AND log_return_1d <= +0.123,log_return_1d,2370,730,10.506329113924052,10.273972602739725,3.288009225735511,3.124678763771257,0.23235651118432565,6.117455138662317,1.9577868962372944,569,12.302284710017574,3.741560277181283,-1.1931051213806205
pump15,5,14,3,log_return_1d > +0.039 AND log_return_1d > +0.080 AND log_return_1d > +0.123,log_return_1d,1348,392,22.032640949554896,20.153061224489797,3.288009225735511,6.129259330159471,1.8795797250651003,6.443719412724307,1.0513047442808485,369,20.867208672086722,6.346456849560339,-5.1478964034339585
