date,coin,crowd_q,btc_regime,net_eod_d1,has_path,net_tp5_sl3,oc_tp5_sl3,net_eod15,oc_eod15,net_tp5_sl5,oc_tp5_sl5,net_tp10_sl3,oc_tp10_sl3,net_noSL_eod,oc_noSL_eod
2023-10-11,KRW-CBK,mid,bear_quiet,0.055983731019522864,False,,,,,,,,,,
2023-10-12,KRW-CBK,high,bear_quiet,-0.06933144912641315,False,,,,,,,,,,
2023-11-13,KRW-CBK,mid,bull_volatile,-0.11810777385159016,False,,,,,,,,,,
2023-11-18,KRW-CBK,low,bull_volatile,0.0023022813688212142,False,,,,,,,,,,
2023-11-23,KRW-CBK,low,bull_volatile,0.015236401673640211,False,,,,,,,,,,
2023-09-17,KRW-CELO,low,bear_quiet,-0.07012745098039214,False,,,,,,,,,,
2023-09-26,KRW-CELO,mid,bear_quiet,-0.020638755980861238,False,,,,,,,,,,
2023-11-02,KRW-CELO,mid,bull_quiet,0.03382608695652173,False,,,,,,,,,,
2023-11-04,KRW-CELO,high,bull_volatile,-0.0064875311720698475,False,,,,,,,,,,
2023-12-05,KRW-CELO,low,bull_volatile,0.021400763358778555,False,,,,,,,,,,
2023-12-17,KRW-CELO,low,bull_volatile,0.08142682926829276,False,,,,,,,,,,
2023-12-18,KRW-CELO,high,bull_volatile,-0.028527027027026974,False,,,,,,,,,,
2023-12-23,KRW-CELO,mid,bull_volatile,0.023816455696202443,False,,,,,,,,,,
2023-12-27,KRW-CELO,low,bull_volatile,0.0975099009900991,False,,,,,,,,,,
2023-12-28,KRW-CELO,mid,bull_volatile,0.03885874439461873,False,,,,,,,,,,
2023-12-29,KRW-CELO,high,bull_volatile,-0.048913793103448296,False,,,,,,,,,,
2024-01-14,KRW-CELO,mid,bull_volatile,-0.0773928571428571,False,,,,,,,,,,
2024-02-13,KRW-CELO,low,bull_quiet,0.00721481518581585,False,,,,,,,,,,
2023-12-08,KRW-CHZ,mid,bull_volatile,0.03183333333333344,False,,,,,,,,,,
2024-01-14,KRW-CHZ,mid,bull_volatile,-0.05108677685950407,False,,,,,,,,,,
2024-01-16,KRW-CHZ,mid,bull_volatile,0.15297154471544722,False,,,,,,,,,,
2024-01-17,KRW-CHZ,high,bull_volatile,-0.036711267605633764,False,,,,,,,,,,
2024-01-21,KRW-CHZ,high,bull_volatile,-0.05744405594405593,False,,,,,,,,,,
2024-01-24,KRW-CHZ,mid,bull_volatile,-0.037471223021582734,False,,,,,,,,,,
2024-01-26,KRW-CHZ,high,bull_volatile,0.012013513513513598,False,,,,,,,,,,
2024-02-16,KRW-CHZ,low,bull_quiet,0.1030883940620782,False,,,,,,,,,,
2024-02-17,KRW-CHZ,mid,bull_quiet,-0.04242852779474643,False,,,,,,,,,,
2023-11-03,KRW-CRO,low,bull_volatile,-0.023453896816684916,False,,,,,,,,,,
2023-11-08,KRW-CRO,mid,bull_volatile,0.017367924528301885,False,,,,,,,,,,
2023-11-11,KRW-CRO,mid,bull_volatile,0.08940909090909084,False,,,,,,,,,,
2023-11-12,KRW-CRO,high,bull_volatile,-0.08483333333333337,False,,,,,,,,,,
