pattern,split_cond,median_cut,n_hi,n_lo,net_tp_sl_hi,net_tp_sl_lo,net_tp_sl_diff,net_eod_hi,net_eod_lo,spike_dump_hi,spike_dump_lo,spike_sustain_hi,spike_sustain_lo,n_spike,abs_net_diff
qv_surge_30d,f_atr_pct_14,0.07039874773438788,7653,7652,-0.011518804964591671,-0.0017569524741607799,-0.009761852490430892,-0.005572097565322889,0.0004623517056741779,0.12570621468926554,0.10875706214689265,0.7387005649717514,0.7189265536723164,1416,0.009761852490430892
qv_surge_30d,f_bounce_off_7d_low,0.16666666666658214,7653,7652,-0.011092770731525113,-0.0021830423834208906,-0.008909728348104223,-0.004572866964926525,-0.0005370094789616518,0.1694915254237288,0.06497175141242938,0.6991525423728814,0.7584745762711864,1416,0.008909728348104223
qv_surge_30d,f_dist_from_20d_high,-0.10261026102618331,7653,7652,-0.0034644775694060988,-0.009812332447416815,0.006347854878010716,0.001338049129955351,-0.006448698040661992,0.10734463276836158,0.1271186440677966,0.7655367231638418,0.692090395480226,1416,0.006347854878010716
qv_surge_30d,f_qv_surge_30d,3.2787817041935683,7653,7652,-0.009778805023246993,-0.003497179807029417,-0.006281625216217576,-0.006313287916878619,0.0012036389195340838,0.15819209039548024,0.07627118644067797,0.672316384180791,0.7853107344632768,1416,0.006281625216217576
qv_surge_30d,f_ret_3d,0.06726335774342296,7653,7652,-0.009134073042126658,-0.004141996044812212,-0.004992076997314445,-0.0044051693632964125,-0.0007047289961173298,0.1765536723163842,0.05790960451977401,0.6765536723163842,0.7810734463276836,1416,0.004992076997314445
qv_surge_30d,f_ret_7d,0.09508408796895207,7653,7652,-0.0091124310979205,-0.004163640817291264,-0.004948790280629237,-0.0026988484175011766,-0.002411272932104124,0.1440677966101695,0.0903954802259887,0.7245762711864406,0.7330508474576272,1416,0.004948790280629237
qv_surge_30d,f_ret_14d,0.10169491525423724,7653,7652,-0.00847465229132893,-0.0048015029718711496,-0.003673149319457781,-0.0017889341289128039,-0.0033213061326486633,0.1285310734463277,0.1059322033898305,0.748587570621469,0.7090395480225988,1416,0.003673149319457781
qv_surge_30d,f_qv_surge_7d,2.3300577956689073,7653,7652,-0.007589886667172182,-0.0056863842214361785,-0.0019035024457360033,-0.0058673221053852165,0.0007576148270930216,0.16101694915254236,0.07344632768361582,0.655367231638418,0.8022598870056498,1416,0.0019035024457360033
qv_surge_30d,f_pos_in_20d_range,0.64062499999999,7653,7652,-0.005730513961482478,-0.0075459999188542785,0.0018154859573718003,0.00018513342210414868,-0.005295631664265592,0.1228813559322034,0.1115819209039548,0.751412429378531,0.7062146892655368,1416,0.0018154859573718003
qv_surge_30d,f_up_streak,1.0,10675,4630,-0.006209679910121539,-0.007626194748542316,0.001416514838420777,-0.002572810686296435,-0.0025141670279444535,0.12916666666666668,0.10488505747126436,0.7291666666666666,0.728448275862069,1416,0.001416514838420777
qv_surge_30d,f_rsi_14,61.904761904753656,7653,7652,-0.007178274596121728,-0.006098050083922996,-0.0010802245121987316,-0.0007149825715361341,-0.0043953980391572426,0.11864406779661017,0.11581920903954802,0.7528248587570622,0.7048022598870056,1416,0.0010802245121987316
qv_surge_30d,f_dist_from_60d_high,-0.2012349748238203,7506,7506,-0.0062951345789110345,-0.006685823330570725,0.00039068875165969037,0.00014992810768517457,-0.004857424525779854,0.10901162790697674,0.11644832605531295,0.7630813953488372,0.7016011644832606,1375,0.00039068875165969037
qv_surge_7d,f_log_qv,23.341409468849413,7425,7425,-0.011180336757036459,-0.0005246142694867148,-0.010655722487549743,-0.0072598295944203296,0.0002251333391272761,0.16366612111292964,0.10163934426229508,0.679214402618658,0.7032786885245902,1221,0.010655722487549743
qv_surge_7d,f_qv_rank,32.0,7454,7396,-0.0008206915800049455,-0.010923719082555126,0.01010302750255018,0.0015275772523552378,-0.008601836199919803,0.0967741935483871,0.16971713810316139,0.7112903225806452,0.670549084858569,1221,0.01010302750255018
qv_surge_7d,f_rv_21d,0.03928762353394155,7413,7413,-0.010185939670084628,-0.0014582065318888733,-0.008727733138195755,-0.006720675325826839,-0.00027622968678812026,0.17898193760262726,0.08717105263157894,0.6666666666666666,0.7154605263157895,1217,0.008727733138195755
qv_surge_7d,f_atr_pct_14,0.06716786932856264,7425,7425,-0.009701753022015643,-0.002003198004507532,-0.0076985550175081114,-0.005865491699848775,-0.001169204555444279,0.15875613747954173,0.10655737704918032,0.6710310965630114,0.7114754098360656,1221,0.0076985550175081114
qv_surge_7d,f_qv_surge_30d,2.7634132254846957,7309,7309,-0.008630027257788626,-0.0027421669627163926,-0.005887860295072233,-0.0057162241565350625,-0.0010603234326241222,0.16917922948073702,0.09228187919463088,0.6532663316582915,0.7315436241610739,1193,0.005887860295072233
qv_surge_7d,f_bounce_off_7d_low,0.12489771706033692,7425,7425,-0.008587885632833872,-0.0031170653936893017,-0.00547082023914457,-0.005233367927526851,-0.0018013283277662025,0.19476268412438624,0.07049180327868852,0.6546644844517185,0.7278688524590164,1221,0.00547082023914457
qv_surge_7d,f_dist_from_20d_high,-0.12826523777629084,7363,7362,-0.0037744578501059892,-0.00769612445358085,0.003921666603474861,-0.0012898117330778281,-0.005777940243169814,0.1264559068219634,0.13810316139767054,0.7254575707154742,0.6572379367720466,1202,0.003921666603474861
qv_surge_7d,f_ret_3d,0.050000000000000044,7430,7420,-0.007558292126995586,-0.004144359955304227,-0.0034139321716913596,-0.0053225565577748315,-0.0017097068020598273,0.19148936170212766,0.07377049180327869,0.6595744680851063,0.7229508196721312,1221,0.0034139321716913596
qv_surge_7d,f_qv_surge_7d,2.713965592431225,7425,7425,-0.007553278710518742,-0.004151672316004432,-0.00340160639451431,-0.006787389933894793,-0.0002473063213982614,0.15875613747954173,0.10655737704918032,0.6513911620294599,0.7311475409836066,1221,0.00340160639451431
qv_surge_7d,f_ret_7d,0.043238162975005046,7424,7424,-0.007208827851707581,-0.004483825889124122,-0.0027250019625834595,-0.004167419616676744,-0.0028334058659689907,0.16176470588235295,0.10344827586206896,0.696078431372549,0.6863711001642037,1221,0.0027250019625834595
qv_surge_7d,f_ret_14d,0.01538461538461533,7393,7392,-0.006424203256794592,-0.00518363349758482,-0.0012405697592097727,-0.003800286920848806,-0.003094616102358004,0.1551155115511551,0.11239669421487604,0.698019801980198,0.6826446280991736,1211,0.0012405697592097727
qv_surge_7d,f_dist_from_60d_high,-0.26593546462171425,7118,7118,-0.006052991805020222,-0.004855448008050956,-0.0011975437969692663,-0.003252991274085726,-0.00291719493299923,0.12937062937062938,0.1190893169877408,0.7045454545454546,0.691768826619965,1143,0.0011975437969692663
qv_surge_7d,f_rsi_14,52.22576079263338,7425,7425,-0.006385280869868578,-0.005319670156654596,-0.0010656107132139825,-0.0036790051671821127,-0.0033556910881109405,0.15057283142389524,0.11475409836065574,0.7021276595744681,0.680327868852459,1221,0.0010656107132139825
qv_surge_7d,f_up_streak,1.0,10752,4098,-0.0055772869955900695,-0.006574492824634001,0.0009972058290439317,-0.003864833178001324,-0.002605645037989431,0.13622291021671826,0.12869565217391304,0.7074303405572755,0.6730434782608695,1221,0.0009972058290439317
qv_surge_7d,f_pos_in_20d_range,0.4894613583138061,7363,7362,-0.0059891406487996785,-0.005481140828644469,-0.0005079998201552097,-0.002865593821774165,-0.004201944111809975,0.14143094841930118,0.12312811980033278,0.7204658901830283,0.6622296173044925,1202,0.0005079998201552097
rv_21d,f_log_qv,22.951046328709694,13992,13992,-0.011472161851305,-0.00458108638541952,-0.00689107546588548,-0.004725422151124734,-0.0028564698700753116,0.11795407098121086,0.11180773249738767,0.7588726513569938,0.7241379310344828,1915,0.00689107546588548
