head,regime,liq,topK_pct,n_sub,base_rate_pct,n_top,precision_pct,lift,active_days,total_days,active_pct_of_period,avg_fail_eod_pct,worst5_fail_eod_pct
h3_eod_3_24h,bull_all,all,1.0,89170,14.822249635527642,891,19.640852974186306,1.3250925775200069,49,648,7.561728395061729,-0.9722827171607801,-5.448013620564332
h3_eod_3_24h,bull_all,all,2.0,89170,14.822249635527642,1783,22.434099831744252,1.513542166903711,94,648,14.506172839506174,-1.0171048860341865,-6.085456019191906
h3_eod_3_24h,bull_all,top100,0.1,64800,15.32716049382716,64,7.8125,0.5097160692710431,2,648,0.30864197530864196,-1.3330642954559917,-4.510033828990285
h3_eod_3_24h,bull_all,top100,0.5,64800,15.32716049382716,324,17.59259259259259,1.1478050745066453,22,648,3.3950617283950617,-0.8890206730152712,-4.654781248484265
h3_eod_3_24h,bull_all,top100,1.0,64800,15.32716049382716,648,18.82716049382716,1.2283527990334273,42,648,6.481481481481481,-1.0253477845244288,-5.336932977950598
h3_eod_3_24h,bull_all,top100,2.0,64800,15.32716049382716,1296,21.75925925925926,1.4196536447845347,85,648,13.117283950617283,-1.0623707720387054,-6.465700097322384
h3_eod_3_24h,bull_all,top50,0.1,32400,15.145061728395062,32,15.625,1.0316894232728755,2,648,0.30864197530864196,-1.4568960370401518,-4.403039493275405
h3_eod_3_24h,bull_all,top50,0.5,32400,15.145061728395062,162,19.1358024691358,1.2635011208477684,22,648,3.3950617283950617,-1.1993599396952892,-5.216485172629104
h3_eod_3_24h,bull_all,top50,1.0,32400,15.145061728395062,324,19.1358024691358,1.2635011208477684,41,648,6.327160493827161,-1.134808992829151,-5.483183410655788
h3_eod_3_24h,bull_all,top50,2.0,32400,15.145061728395062,648,20.21604938271605,1.3348277970246587,80,648,12.345679012345679,-1.3180173350544742,-7.0426575185153135
h3_eod_3_24h,bull_quiet,all,0.1,57000,14.771929824561402,57,3.508771929824561,0.2375296912114014,1,380,0.2631578947368421,-1.553437713551873,-4.529816667831019
h3_eod_3_24h,bull_quiet,all,0.5,57000,14.771929824561402,285,13.333333333333334,0.9026128266033254,13,380,3.421052631578948,-1.036272580555132,-4.443203134974805
h3_eod_3_24h,bull_quiet,all,1.0,57000,14.771929824561402,570,19.12280701754386,1.2945368171021379,36,380,9.473684210526317,-1.046673167818608,-5.018248175182483
h3_eod_3_24h,bull_quiet,all,2.0,57000,14.771929824561402,1140,20.789473684210527,1.4073634204275536,75,380,19.736842105263158,-1.2021034141141635,-6.0186084161322775
h3_eod_3_24h,bull_quiet,top100,0.1,38000,15.539473684210526,38,5.263157894736842,0.3386960203217612,1,380,0.2631578947368421,-1.771548459421847,-4.7413740080696405
h3_eod_3_24h,bull_quiet,top100,0.5,38000,15.539473684210526,190,14.736842105263156,0.9483488569009314,10,380,2.631578947368421,-1.0860934749912365,-4.81428154495218
h3_eod_3_24h,bull_quiet,top100,1.0,38000,15.539473684210526,380,18.157894736842106,1.1685012701100763,28,380,7.368421052631578,-1.1424958679159556,-5.034857611530913
h3_eod_3_24h,bull_quiet,top100,2.0,38000,15.539473684210526,760,20.657894736842106,1.3293818797629129,62,380,16.315789473684212,-1.2432884108140052,-6.168325081721698
h3_eod_3_24h,bull_quiet,top50,0.1,19000,15.310526315789474,19,15.789473684210526,1.0312822275696114,1,380,0.2631578947368421,-1.3397190955493306,
h3_eod_3_24h,bull_quiet,top50,0.5,19000,15.310526315789474,95,18.947368421052634,1.2375386730835338,9,380,2.368421052631579,-1.339370314861601,-5.045864085895369
h3_eod_3_24h,bull_quiet,top50,1.0,19000,15.310526315789474,190,22.63157894736842,1.4781711928497765,29,380,7.631578947368421,-1.3166936159501574,-5.473562274610031
h3_eod_3_24h,bull_quiet,top50,2.0,19000,15.310526315789474,380,21.578947368421055,1.4094190443451358,57,380,15.0,-1.340071901339235,-6.543083900226758
h3_eod_3_24h,bull_volatile,all,0.1,32170,14.911408144233759,32,6.25,0.4191421721909526,2,268,0.7462686567164178,-0.6368852790861531,-2.968013642990186
h3_eod_3_24h,bull_volatile,all,0.5,32170,14.911408144233759,160,18.125,1.2155122993537626,14,268,5.223880597014925,-0.6932396793184887,-3.7517203401043755
h3_eod_3_24h,bull_volatile,all,1.0,32170,14.911408144233759,321,23.67601246105919,1.5877784466797458,20,268,7.462686567164178,-0.7589106104977038,-5.30103266570596
h3_eod_3_24h,bull_volatile,all,2.0,32170,14.911408144233759,643,21.928460342146188,1.4705828000976502,36,268,13.432835820895523,-0.8854343554374197,-6.491384927790997
h3_eod_3_24h,bull_volatile,top100,0.1,26800,15.026119402985074,26,7.6923076923076925,0.5119290940001147,1,268,0.3731343283582089,-1.0556518452733399,-3.025301620036702
h3_eod_3_24h,bull_volatile,top100,0.5,26800,15.026119402985074,134,17.91044776119403,1.1919543084181772,13,268,4.850746268656716,-0.8341934423336808,-3.7532334765935413
h3_eod_3_24h,bull_volatile,top100,1.0,26800,15.026119402985074,268,22.01492537313433,1.465110504097343,19,268,7.08955223880597,-0.7753934907696058,-5.056200333343706
h3_eod_3_24h,bull_volatile,top100,2.0,26800,15.026119402985074,536,20.522388059701495,1.3657809783958281,35,268,13.059701492537313,-0.9328718778039726,-7.164370674681505
h3_eod_3_24h,bull_volatile,top50,0.1,13400,14.910447761194028,13,15.384615384615385,1.031801031801032,1,268,0.3731343283582089,-1.6569707908478681,
h3_eod_3_24h,bull_volatile,top50,0.5,13400,14.910447761194028,67,16.417910447761194,1.1011011011011012,13,268,4.850746268656716,-1.0274695695600395,-3.972107541178177
h3_eod_3_24h,bull_volatile,top50,1.0,13400,14.910447761194028,134,19.402985074626866,1.3013013013013015,19,268,7.08955223880597,-1.1026763921007738,-6.428494097242236
