feature,label,regime,oos_prec,oos_base,oos_lift,oos_n,n_folds_used,signal_dir,net_mean,net_sharpe,n_trades,win_rate,tp_rate,sl_rate
f_ret_14d,lab_pump20,bull_quiet,0.032378223495702005,0.015106121593005336,2.1433842761264583,6980,4,high,-0.0013396152785663884,-5.932351677362141,6980,0.4670487106017192,0.09297994269340974,0.3060171919770774
f_atr_pct_14,lab_pump20,bull_quiet,0.02718303946263644,0.014637125765702407,1.8571295961896777,9528,4,high,-0.008727466955103754,-5.870081419045252,9528,0.37510495382031905,0.08774139378673383,0.3988245172124265
f_qv_surge_30d,lab_pump20,bull_volatile,0.06738683127572016,0.025335894838564934,2.659737566211696,1944,3,high,-0.012637471722707924,-8.446687963391438,1944,0.32150205761316875,0.13220164609053497,0.5406378600823045
f_ret_3d,lab_pump20,bull_volatile,0.06917363045496751,0.027074056257601918,2.5549784560097,2154,3,high,-0.011534582645477472,-5.033220151275212,2154,0.3268337975858867,0.1425255338904364,0.5501392757660167
f_ret_7d,lab_pump20,bull_volatile,0.06562894404711822,0.0278135215545297,2.3596057017968626,2377,3,high,-0.008591428933441054,-5.9025440482606895,2377,0.3588557004627682,0.1421960454354228,0.5090450147244425
f_roc_7d,lab_pump20,bull_volatile,0.06562894404711822,0.0278135215545297,2.3596057017968626,2377,3,high,-0.008591428933441054,-5.9025440482606895,2377,0.3588557004627682,0.1421960454354228,0.5090450147244425
f_qv_surge_7d,lab_pump20,bull_volatile,0.05133806663025668,0.022311728627367595,2.3009452780492023,1831,3,high,-0.012922776106694052,-9.668084807930649,1831,0.3233205898416166,0.10158383397050792,0.4653194975423266
f_log_qv,lab_pump20,bull_volatile,0.04693366708385482,0.02254372022818446,2.081895384115782,1598,3,high,-0.015101770147136085,-9.610161787473752,1598,0.29662077596996245,0.0969962453066333,0.5062578222778473
f_ret_14d,lab_pump20,bull_volatile,0.061241970021413274,0.029653710523345776,2.0652380070008,2335,2,high,-0.0067968990680143445,-4.41477058530839,2354,0.37170773152081565,0.1516567544604928,0.4995751911639762
f_bounce_off_7d_low,lab_pump20,bull_volatile,0.05915100904662491,0.028647610973167804,2.0647798206289343,2874,3,high,-0.012838088402441902,-5.56529491923104,2874,0.3201113430758525,0.1290883785664579,0.5535838552540014
f_qv_rank_pct,lab_pump20,bull_volatile,0.039257294429708225,0.019613546687120228,2.0015398059285014,1885,3,high,-0.01286278033545547,-9.577927876926019,1885,0.31724137931034485,0.09177718832891246,0.43925729442970823
f_rv_7d,lab_pump20,bull_volatile,0.048627995831886074,0.025561556135127315,1.9023879287638632,2879,3,high,-0.012462659982194379,-4.832868286648907,2879,0.31538728725251824,0.12747481764501564,0.5529697811740187
f_atr_xs_decile,lab_pump20,bull_volatile,0.036170212765957444,0.019390290650974945,1.865377544721786,1880,3,high,-0.0107422401530548,-6.625608239514904,1880,0.34308510638297873,0.10904255319148937,0.4643617021276596
f_rv_21d,lab_pump20,bull_volatile,0.043993231810490696,0.02555711554904611,1.7213692103110867,2955,3,high,-0.009361628484710135,-6.778115184541913,2955,0.35972927241962777,0.11742808798646362,0.47377326565143824
f_atr_pct_14,lab_pump20,bull_volatile,0.03560490045941807,0.026116561675118024,1.3633073488896452,2612,3,high,-0.011195864050168737,-6.567702550420846,2612,0.35145482388973964,0.10987748851454823,0.5172281776416539
